Season,Team,Paid
2019,Baby Got Track,Yes
2019,But We're Cute,No
2019,Dirty Johnson,Yes
2019,eGator Dad,Yes
2019,Hollywood High Life,Yes
2019,Killer B's,Yes
2019,Ricky Bobby,No
2019,Ridge Racing,No
2019,Stinky Hairy Busch,No
2019,Up Front,Yes
2018,Baby Got Track,
2018,Baby Got Track,
2018,Baby Got Track,
2018,Chasing Cletus,
2018,Chasing Cletus,
2018,Chasing Cletus,
2018,Don't Beat My Johnson,
2018,Don't Beat My Johnson,
2018,Don't Beat My Johnson,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Field,
2018,Gator Dad,
2018,Gator Dad,
2018,Gator Dad,
2018,Hollywood High Life,
2018,Hollywood High Life,
2018,Hollywood High Life,
2018,J-Town Throw Down,
2018,J-Town Throw Down,
2018,J-Town Throw Down,
2018,Killer B's,
2018,Killer B's,
2018,Killer B's,
2018,Redneck Ghoster,
2018,Redneck Ghoster,
2018,Redneck Ghoster,
2018,Ricky Bobby,
2018,Ricky Bobby,
2018,Ricky Bobby,
2018,Up Front,
2018,Up Front,
2018,Up Front,
2017,Chug,
2017,Chug,
2017,Chug,
2017,Chug,
2017,Chug,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Field,
2017,Gator Dad,
2017,Gator Dad,
2017,Gator Dad,
2017,Gator Dad,
2017,Gator Dad,
2017,Gator Mom,
2017,Gator Mom,
2017,Gator Mom,
2017,Gator Mom,
2017,Gator Mom,
2017,Julian Gangsta,
2017,Julian Gangsta,
2017,Julian Gangsta,
2017,Julian Gangsta,
2017,Julian Gangsta,
2017,Lazy Dog Dad,
2017,Lazy Dog Dad,
2017,Lazy Dog Dad,
2017,Lazy Dog Dad,
2017,Lazy Dog Dad,
2017,Lazy Dog Mom,
2017,Lazy Dog Mom,
2017,Lazy Dog Mom,
2017,Lazy Dog Mom,
2017,Ridge Racing,
2017,Ridge Racing,
2017,Ridge Racing,
2017,Ridge Racing,
2017,Ridge Racing,
2017,Slobber Racing,
2017,Slobber Racing,
2017,Slobber Racing,
2017,Slobber Racing,
2017,Slobber Racing,
