Season,Race,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,Driver Rating
2019,11,"Martin Truex, Jr.",13,5,1,1,29,7,26,66,40,32,48.5,80,352,88,132,33,400,128.9
2019,11,Alex Bowman,5,2,2,1,28,7,27,84,57,48,57.1,33,331,82.8,16,4,400,111.5
2019,11,Kyle Larson,3,6,3,1,20,5,5,50,45,35,70,26,395,98.8,0,0,400,115.6
2019,11,Kevin Harvick,6,4,4,1,15,4,-2,41,43,33,80.5,36,400,100,1,0.2,400,118.6
2019,11,Chase Elliott,1,1,5,1,18,3,-1,44,45,28,63.6,47,398,99.5,145,36.2,400,128
2019,11,Erik Jones,15,10,6,3,23,10,-1,57,58,30,52.6,11,391,97.8,0,0,400,95.2
2019,11,Joey Logano,4,16,7,1,24,9,10,56,46,29,51.8,12,327,81.8,16,4,400,97.9
2019,11,William Byron,2,17,8,1,25,12,14,81,67,43,53.1,10,286,71.5,5,1.2,400,87
2019,11,Clint Bowyer,10,9,9,4,23,9,2,61,59,37,60.7,7,385,96.2,0,0,400,97.2
2019,11,Kyle Busch,22,8,10,1,22,11,12,68,56,45,66.2,21,372,93,1,0.2,400,86.5
2019,11,Daniel Suarez,14,14,11,1,25,13,2,63,61,34,54,26,319,79.8,21,5.2,400,81
2019,11,Brad Keselowski,9,3,12,1,22,7,-8,39,47,25,64.1,12,383,96,58,14.5,399,103.5
2019,11,Kurt Busch,19,19,13,2,23,16,13,77,64,28,36.4,8,188,47.1,0,0,399,74.7
2019,11,Jimmie Johnson,12,11,14,1,21,11,-5,59,64,36,61,2,379,95,4,1,399,82.8
2019,11,Ryan Blaney,11,7,15,2,23,10,-11,43,54,22,51.2,3,365,91.5,0,0,399,90
2019,11,Aric Almirola,7,12,16,2,22,13,-7,53,60,25,47.2,6,268,67.2,0,0,399,74.6
2019,11,Paul Menard,18,13,17,7,24,17,-6,52,58,10,19.2,2,111,27.8,0,0,399,68.6
2019,11,Ryan Newman,21,21,18,8,28,20,-6,49,55,6,12.2,1,6,1.5,0,0,398,61.7
2019,11,Austin Dillon,16,15,19,6,25,18,-15,53,68,17,32.1,0,86,21.6,0,0,398,65.7
2019,11,Matt DiBenedetto,17,20,20,3,25,19,-3,69,72,21,30.4,8,42,10.6,0,0,398,62.4
2019,11,Denny Hamlin,8,18,21,3,24,19,-13,73,86,21,28.8,5,74,18.6,0,0,397,61.7
2019,11,Ty Dillon,25,22,22,6,27,21,-5,48,53,6,12.5,0,5,1.3,0,0,397,57.2
2019,11,Chris Buescher,30,23,23,3,30,23,1,63,62,15,23.8,0,13,3.3,0,0,397,52
2019,11,Michael McDowell,26,25,24,1,26,24,-1,39,40,10,25.6,0,8,2,1,0.3,395,51.5
2019,11,Daniel Hemric,23,24,25,2,25,23,-13,54,67,11,20.4,3,9,2.3,0,0,394,52.8
2019,11,David Ragan,24,26,26,7,33,27,2,36,34,7,19.4,1,5,1.3,0,0,393,43.9
2019,11,Bubba Wallace,27,28,27,25,30,28,-2,18,20,0,0,0,0,0,0,0,393,47
2019,11,Ryan Preece,29,27,28,26,32,27,2,17,15,0,0,1,0,0,0,0,392,44.4
2019,11,Corey LaJoie,28,29,29,26,31,29,-2,18,20,0,0,1,0,0,0,0,392,40.5
2019,11,Ross Chastain,36,32,30,28,36,31,5,13,8,0,0,1,0,0,0,0,389,37.4
2019,11,Landon Cassill,31,31,31,28,33,31,-8,8,16,0,0,0,0,0,0,0,389,34.5
2019,11,Matt Tifft,32,33,32,32,37,34,0,6,6,0,0,0,0,0,0,0,387,31.5
2019,11,"Ricky Stenhouse, Jr.",20,30,33,7,33,26,-8,16,24,8,50,4,102,26.4,0,0,386,57
2019,11,Cody Ware,33,34,34,33,35,34,3,5,2,0,0,0,0,0,0,0,383,30
2019,11,Reed Sorenson,37,35,35,34,37,35,5,5,0,0,0,0,0,0,0,0,356,27.3
2019,11,Quin Houff,35,36,36,34,37,36,-3,1,4,0,0,0,0,0,0,0,168,24.7
2019,11,B.J. McLeod,34,37,37,28,37,36,-9,3,12,0,0,0,0,0,0,0,96,28.3
2019,10,Chase Elliott,11,1,1,1,32,10,20,320,300,196,61.2,5,133,70.7,44,23.4,188,105.9
2019,10,Alex Bowman,9,2,2,1,22,9,14,325,311,216,66.5,2,135,71.8,8,4.3,188,98.9
2019,10,Ryan Preece,30,24,3,2,36,21,37,397,360,101,25.4,5,34,18.1,0,0,188,74.7
2019,10,Joey Logano,8,21,4,1,26,8,-17,310,327,265,85.5,4,171,91,37,19.7,188,105.6
2019,10,Daniel Hemric,5,13,5,4,30,15,21,342,321,193,56.4,5,98,52.1,0,0,188,85.5
2019,10,Kurt Busch,14,14,6,1,27,12,9,385,376,240,62.3,9,135,71.8,0,0,188,90.3
2019,10,Ryan Newman,24,15,7,5,35,19,40,338,298,85,25.1,13,47,25,0,0,188,83.7
2019,10,Brendan Gaughan,29,23,8,1,36,23,17,199,182,19,9.5,7,22,11.7,5,2.7,188,67.8
2019,10,Aric Almirola,2,5,9,1,31,8,-34,400,434,330,82.5,2,170,90.4,27,14.4,188,111
2019,10,Kyle Busch,22,11,10,1,31,10,18,457,439,310,67.8,9,159,84.6,4,2.1,188,96.4
2019,10,Corey LaJoie,36,20,11,6,36,22,14,214,200,19,8.9,4,16,8.5,0,0,188,78.6
2019,10,Daniel Suarez,16,22,12,1,27,16,8,440,432,228,51.8,7,71,37.8,0,0,188,74.2
2019,10,Brad Keselowski,4,3,13,1,27,10,-35,285,320,217,76.1,3,142,75.5,10,5.3,188,96.3
2019,10,Austin Dillon,1,6,14,1,31,13,-9,347,356,236,68,5,112,59.6,0,0,188,84
2019,10,Ryan Blaney,7,12,15,1,30,9,-3,480,483,393,81.9,7,164,87.2,4,2.1,188,89.7
2019,10,Paul Menard,17,9,16,2,33,16,-3,500,503,242,48.4,5,87,46.3,0,0,188,73.5
2019,10,Ty Dillon,13,10,17,1,26,15,-7,352,359,135,38.4,3,82,43.6,7,3.7,188,80.8
2019,10,Reed Sorenson,37,29,18,7,40,28,4,104,100,2,1.9,3,3,1.6,0,0,188,54.5
2019,10,Erik Jones,27,16,19,1,27,13,4,424,420,259,61.1,5,118,62.8,4,2.1,188,80.1
2019,10,"Martin Truex, Jr.",20,7,20,1,25,10,8,452,444,306,67.7,5,143,76.1,11,5.9,188,102.4
2019,10,William Byron,25,4,21,1,26,12,3,345,342,198,57.4,3,138,73.4,0,0,188,81.5
2019,10,Jeffrey Earnhardt,33,28,22,5,35,26,-2,199,201,52,26.1,4,10,5.3,0,0,187,54.3
2019,10,David Ragan,15,19,23,1,28,16,-7,359,366,192,53.5,7,84,44.9,0,0,187,82.6
2019,10,Kyle Larson,10,8,24,1,26,12,-17,333,350,200,60.1,1,125,66.8,1,0.5,187,76.2
2019,10,"Ricky Stenhouse, Jr.",6,17,25,1,22,8,-4,417,421,343,82.3,4,176,94.1,16,8.6,187,87.3
2019,10,Ross Chastain,34,26,26,1,40,27,-12,76,88,5,6.6,3,13,7,9,4.8,187,50.3
2019,10,Parker Kligerman,35,30,27,3,40,30,-7,63,70,1,1.6,3,1,0.5,0,0,186,47.2
2019,10,Cody Ware,40,32,28,4,40,31,-1,52,53,0,0,2,1,0.5,0,0,184,38.7
2019,10,Clint Bowyer,3,33,29,3,36,32,-14,54,68,20,37,2,10,5.5,0,0,182,44.2
2019,10,Chris Buescher,31,25,30,1,32,19,-8,379,387,214,56.5,2,73,40.3,0,0,181,71.4
2019,10,Matt DiBenedetto,26,18,31,1,27,16,-18,484,502,219,45.2,10,83,45.9,1,0.6,181,79.5
2019,10,Justin Haley,38,27,32,2,38,22,-3,300,303,84,28,8,33,18.3,0,0,180,68.5
2019,10,Jimmie Johnson,21,34,33,6,36,33,-33,62,95,2,3.2,5,2,1.1,0,0,178,39.6
2019,10,Landon Cassill,32,36,34,13,36,34,-28,50,78,1,2,0,2,1.3,0,0,154,38.3
2019,10,Stanton Barrett,39,31,35,15,40,33,-12,61,73,1,1.6,1,0,0,0,0,132,32.3
2019,10,Denny Hamlin,23,35,36,4,37,34,25,81,56,21,25.9,3,3,3.8,0,0,80,34.1
2019,10,Matt Tifft,18,37,37,1,34,36,6,77,71,45,58.4,0,7,63.6,0,0,11,29.3
2019,10,Kevin Harvick,19,38,38,16,38,38,4,68,64,0,0,2,0,0,0,0,11,30.7
2019,10,Bubba Wallace,28,39,39,3,39,38,12,70,58,33,47.1,0,8,80,0,0,10,27.3
2019,10,Michael McDowell,12,40,40,4,18,38,1,49,48,39,79.6,0,9,90,0,0,10,25.2
2019,9,"Martin Truex, Jr.",5,2,1,1,21,2,0,14,14,9,64.3,34,395,98.8,186,46.5,400,138.9
2019,9,Joey Logano,3,1,2,1,11,2,0,15,15,9,60,45,400,100,52,13,400,125
2019,9,Clint Bowyer,14,5,3,2,17,5,8,20,12,19,95,21,399,99.8,0,0,400,112.8
2019,9,Kevin Harvick,1,3,4,1,7,4,-4,15,19,12,80,50,400,100,30,7.5,400,119.5
2019,9,Denny Hamlin,30,14,5,5,30,14,19,71,52,26,36.6,8,274,68.5,0,0,400,88.7
2019,9,Austin Dillon,6,11,6,5,24,9,-2,34,36,27,79.4,11,395,98.8,0,0,400,98.5
2019,9,Brad Keselowski,8,4,7,1,24,5,6,37,31,28,75.7,18,395,98.8,31,7.8,400,107
2019,9,Kyle Busch,4,15,8,1,26,7,15,42,27,23,54.8,55,345,86.2,101,25.2,400,108.7
2019,9,Ryan Newman,24,17,9,6,26,15,6,70,64,30,42.9,3,211,52.8,0,0,400,79.3
2019,9,Paul Menard,9,10,10,4,16,9,-5,24,29,19,79.2,1,399,99.8,0,0,400,92
2019,9,Kurt Busch,2,7,11,2,14,7,-9,23,32,17,73.9,5,400,100,0,0,400,97.4
2019,9,Jimmie Johnson,34,13,12,8,34,15,28,67,39,26,38.8,4,249,62.2,0,0,400,74.4
2019,9,William Byron,13,12,13,7,18,13,-1,30,31,21,70,4,377,94.2,0,0,400,83.5
2019,9,Erik Jones,35,8,14,6,35,15,33,67,34,17,25.4,9,251,62.8,0,0,400,77.3
2019,9,Chase Elliott,32,18,15,9,32,19,11,73,62,8,11,2,87,21.8,0,0,400,66.9
2019,9,"Ricky Stenhouse, Jr.",11,22,16,9,26,17,-2,28,30,8,28.6,2,97,24.2,0,0,400,68.9
2019,9,Alex Bowman,12,19,17,2,22,15,-20,45,65,17,37.8,3,192,48.1,0,0,399,73.5
2019,9,Daniel Suarez,33,6,18,4,33,14,15,66,51,28,42.4,20,251,62.9,0,0,399,80.8
2019,9,Daniel Hemric,17,21,19,8,25,20,8,56,48,5,8.9,0,42,10.5,0,0,399,58.8
2019,9,Ryan Preece,16,25,20,10,30,24,-6,37,43,2,5.4,0,2,0.5,0,0,399,51.8
2019,9,Ty Dillon,23,20,21,7,25,20,2,57,55,7,12.3,0,6,1.5,0,0,398,59.5
2019,9,Chris Buescher,7,9,22,4,24,13,-13,32,45,16,50,2,236,59.3,0,0,398,74.6
2019,9,Aric Almirola,31,16,23,12,31,19,7,71,64,10,14.1,3,98,24.6,0,0,398,64.8
2019,9,Matt DiBenedetto,20,23,24,19,30,25,-7,29,36,0,0,1,0,0,0,0,398,48.5
2019,9,Ryan Blaney,22,24,25,4,26,22,-11,40,51,2,5,3,3,0.8,0,0,398,53.3
2019,9,Corey LaJoie,21,27,26,20,31,28,-5,23,28,0,0,4,0,0,0,0,396,41
2019,9,Bubba Wallace,19,28,27,16,29,27,-8,33,41,0,0,0,0,0,0,0,396,47.8
2019,9,David Ragan,15,29,28,12,30,26,-11,30,41,4,13.3,0,22,5.6,0,0,396,47.2
2019,9,Matt Tifft,36,30,29,26,36,30,1,16,15,0,0,13,0,0,0,0,395,37.3
2019,9,Ross Chastain,29,33,30,28,36,32,6,14,8,0,0,20,0,0,0,0,394,38.8
2019,9,Jeb Burton,27,31,31,25,35,32,-8,13,21,0,0,0,0,0,0,0,392,32.2
2019,9,Bayley Currey,26,32,32,26,36,33,-9,7,16,0,0,0,0,0,0,0,392,29.8
2019,9,Joey Gase,37,34,33,33,37,34,0,5,5,0,0,3,0,0,0,0,387,27.1
2019,9,Quin Houff,28,35,34,28,37,35,1,2,1,0,0,1,0,0,0,0,386,25.9
2019,9,Landon Cassill,25,36,35,20,36,33,-11,10,21,0,0,11,0,0,0,0,322,36.8
2019,9,Michael McDowell,18,26,36,18,31,31,-12,15,27,0,0,0,0,0,0,0,240,38.2
2019,9,Kyle Larson,10,37,37,10,31,30,-21,7,28,5,71.4,2,74,59.2,0,0,125,50
2019,8,Kyle Busch,17,5,1,1,36,7,16,73,57,43,58.9,40,434,86.8,71,14.2,500,119.2
2019,8,Kurt Busch,27,6,2,2,27,9,18,86,68,57,66.3,15,437,87.4,0,0,500,102.8
2019,8,Joey Logano,7,1,3,1,10,3,21,59,38,58,98.3,71,500,100,146,29.2,500,132.3
2019,8,Ryan Blaney,3,2,4,1,10,3,6,54,48,52,96.3,35,500,100,158,31.6,500,126.7
