Season,Team,Paid
2020,Bubba Doobies,Yes
2020,Chasing Cuties,Yes
2020,Stinky Beusch,Yes
2020,Wrecky Bobby,Yes
2020,7X Johnson,Yes
2020,Hollywood High Life,Yes
2020,eGator Dad,Yes
2020,Killer Busch,Yes
2020,Up Front,Yes
2019,Baby Got Track,Yes
2019,But We're Cute,Yes
2019,Dirty Johnson,Yes
2019,eGator Dad,Yes
2019,Hollywood High Life,Yes
2019,Killer B's,Yes
2019,Ricky Bobby,Yes
2019,Ridge Racing,Yes
2019,Stinky Hairy Busch,Yes
2019,Up Front,Yes
2018,Baby Got Track,Yes
2018,Baby Got Track,Yes
2018,Baby Got Track,Yes
2018,Chasing Cletus,Yes
2018,Chasing Cletus,Yes
2018,Chasing Cletus,Yes
2018,Don't Beat My Johnson,Yes
2018,Don't Beat My Johnson,Yes
2018,Don't Beat My Johnson,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Field,Yes
2018,Gator Dad,Yes
2018,Gator Dad,Yes
2018,Gator Dad,Yes
2018,Hollywood High Life,Yes
2018,Hollywood High Life,Yes
2018,Hollywood High Life,Yes
2018,J-Town Throw Down,Yes
2018,J-Town Throw Down,Yes
2018,J-Town Throw Down,Yes
2018,Killer B's,Yes
2018,Killer B's,Yes
2018,Killer B's,Yes
2018,Redneck Ghoster,Yes
2018,Redneck Ghoster,Yes
2018,Redneck Ghoster,Yes
2018,Ricky Bobby,Yes
2018,Ricky Bobby,Yes
2018,Ricky Bobby,Yes
2018,Up Front,Yes
2018,Up Front,Yes
2018,Up Front,Yes
2017,Chug,Yes
2017,Chug,Yes
2017,Chug,Yes
2017,Chug,Yes
2017,Chug,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Field,Yes
2017,Gator Dad,Yes
2017,Gator Dad,Yes
2017,Gator Dad,Yes
2017,Gator Dad,Yes
2017,Gator Dad,Yes
2017,Gator Mom,Yes
2017,Gator Mom,Yes
2017,Gator Mom,Yes
2017,Gator Mom,Yes
2017,Gator Mom,Yes
2017,Julian Gangsta,Yes
2017,Julian Gangsta,Yes
2017,Julian Gangsta,Yes
2017,Julian Gangsta,Yes
2017,Julian Gangsta,Yes
2017,Lazy Dog Dad,Yes
2017,Lazy Dog Dad,Yes
2017,Lazy Dog Dad,Yes
2017,Lazy Dog Dad,Yes
2017,Lazy Dog Dad,Yes
2017,Lazy Dog Mom,Yes
2017,Lazy Dog Mom,Yes
2017,Lazy Dog Mom,Yes
2017,Lazy Dog Mom,Yes
2017,Ridge Racing,Yes
2017,Ridge Racing,Yes
2017,Ridge Racing,Yes
2017,Ridge Racing,Yes
2017,Ridge Racing,Yes
2017,Slobber Racing,Yes
2017,Slobber Racing,Yes
2017,Slobber Racing,Yes
2017,Slobber Racing,Yes
2017,Slobber Racing,Yes
