Season,Team,Rank,Driver,Races,Win,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Points,Diff,Ppts
2019,Killer B's ,1,Kyle Busch,8,3,6,8,0,2645,498,11.8,3.4,8,3161,8,361,0,19
2019,Hollywood High Life,2,Denny Hamlin,8,2,5,7,0,2645,97,5.1,5.6,8,3161,8,334,-27,11
2019,eGator Dad,3,Joey Logano,8,1,4,5,1,2643,281,9.2,9.9,8,3157.96,6,326,-35,8
2019,Baby Got Track,4,Kevin Harvick,8,0,3,6,1,2632,133,9,9.2,7,3128.5,7,301,-60,2
2019,Ricky Bobby,5,Brad Keselowski,8,2,4,4,0,2588,578,14.8,11.5,8,3076.96,5,271,-90,12
2019,But We're Cute,6,Ryan Blaney,8,0,4,4,1,2517,353,12.1,16,6,2951.96,4,265,-96,2
2019,Up Front,7,"Martin Truex, Jr.",8,0,2,5,0,2627,14,16.2,11.5,7,3117.96,6,254,-107,0
2019,Stinky Hairy Busch,8,Kurt Busch,8,0,3,6,0,2634,24,20.1,8.6,8,3133.5,7,253,-108,0
2019,Ridge Racing,9,Aric Almirola,8,0,1,6,1,2131,72,10,14.1,6,2853.59,6,246,-115,0
2019,But We're Cute,10,Chase Elliott,8,0,1,2,1,2637,122,9.1,12,7,3141.96,6,245,-116,0
2019,Ricky Bobby,11,Clint Bowyer,8,0,2,4,0,2567,27,13,13,6,3001,6,234,-127,0
2019,Baby Got Track,12,Daniel Suarez,8,0,1,4,0,2627,21,16.4,14.6,7,3117.5,6,210,-151,0
2019,Dirty Johnson,13,Jimmie Johnson,8,0,1,4,1,2640,64,10.6,14.5,8,3155.36,5,209,-152,0
2019,Stinky Hairy Busch,14,Kyle Larson,8,0,0,2,0,2457,142,16.2,15.6,7,2879.96,6,203,-158,1
2019,Hollywood High Life,15,Ryan Newman,8,0,0,1,0,2641,0,16.9,16,8,3155.47,5,188,-173,0
2019,Up Front,16,"Ricky Stenhouse, Jr.",8,0,0,1,0,2536,23,13.2,17.2,8,3100.93,4,187,-174,0
2019,Dirty Johnson,17,Erik Jones,8,0,2,3,0,2625,40,15.2,16.1,8,3146.66,5,186,-175,0
2019,Ridge Racing,18,Austin Dillon,8,0,0,1,1,2640,7,12.1,15.9,8,3151.96,4,185,-176,0
2019,But We're Cute,19,Paul Menard,8,0,0,1,0,2626,0,14.4,16.9,7,3116,5,183,-178,0
2019,eGator Dad,20,William Byron,8,0,0,1,1,2633,83,13.1,17.1,7,3135.97,5,174,-187,0
2019,Killer B's,21,Alex Bowman,8,0,0,0,0,2520,0,14,18.5,7,3036.9,5,166,-195,0
2019,Killer B's,22,Ty Dillon,8,0,0,1,0,2635,6,18.5,18.9,8,3144.42,4,156,-205,1
2019,Stinky Hairy Busch,23,Chris Buescher,8,0,0,1,0,2624,0,20.5,19.9,7,3115.4,4,147,-214,0
2019,Ridge Racing,24,Matt DiBenedetto,8,0,0,0,0,2617,49,21.5,22.4,7,3103.88,3,129,-232,0
2019,Up Front,25,Ryan Preece,8,0,0,1,0,2499,0,23.6,23.5,6,2984.7,2,109,-252,0
2019,Hollywood High Life,26,David Ragan,8,0,0,0,0,2612,0,22,24.5,7,3100.32,1,100,-261,0
2019,Ricky Bobby,27,Bubba Wallace,8,0,0,0,0,2592,0,22.2,25.4,7,3041.84,1,100,-261,0
2019,Baby Got Track,28,Michael McDowell,8,0,1,1,0,2365,0,21.8,25.8,7,2828.9,2,93,-268,0
2019,Dirty Johnson,29,Daniel Hemric,8,0,0,0,0,2592,5,18.9,27.2,7,3074.52,0,79,-282,0
2019,eGator Dad,30,Matt Tifft,8,0,0,0,0,2596,0,31.2,28,7,3080.9,0,72,-289,0
2019,Field,31,Corey LaJoie,8,0,0,0,0,2413,0,29.4,28.2,7,2999.63,0,70,-291,0
2019,Field,32,Landon Cassill,8,0,0,0,0,2517,0,30.8,29.5,7,2987.03,0,60,-301,0
2019,Field,33,Jamie McMurray,1,0,0,0,0,198,6,16,22,0,495,0,19,-342,0
2019,Field,34,Cody Ware,6,0,0,0,0,1258,0,34.5,34.5,4,1946.55,0,18,-343,0
2019,Field,35,Quin Houff,2,0,0,0,0,778,0,35.5,31,2,555.7,0,12,-349,0
2019,Field,36,Reed Sorenson,3,0,0,0,0,766,0,36.3,34.7,3,1245,0,7,-354,0
2019,Field,37,Casey Mears,1,0,0,0,0,104,0,40,40,0,260,0,1,-360,0
2019,Field,38,B.J. McLeod,5,0,0,0,0,1230,0,35.8,31.2,5,2143.52,0,0,-361,0
2019,Field,39,Bayley Currey,3,0,0,0,0,1109,0,35.3,32.3,3,1041.1,0,0,-361,0
2019,Field,40,Brendan Gaughan,1,0,0,0,0,197,0,30,23,0,492.5,0,0,-361,0
2019,Field,41,D.J. Kennington,1,0,0,0,0,489,0,35,32,1,257.21,0,0,-361,0
2019,Field,42,Garrett Smithley,3,0,0,0,0,767,0,36.7,34.7,3,1254.66,0,0,-361,0
2019,Field,43,Gray Gaulding,1,0,0,0,0,142,0,33,36,0,75.68,0,0,-361,0
2019,Field,44,Jeb Burton,1,0,0,0,0,163,0,36,35,0,85.73,0,0,-361,0
2019,Field,45,Joey Gase,2,0,0,0,0,198,0,37,36.5,1,391,0,0,-361,0
2019,Field,46,Parker Kligerman,4,0,0,0,0,1116,0,31,25.8,4,1891.72,0,0,-361,0
2019,Field,47,Ross Chastain,8,0,0,1,0,2467,0,34,27.6,7,3033.21,1,0,-361,0
2019,Field,48,Timmy Hill,2,0,0,0,0,407,0,37,36.5,0,379.38,0,0,-361,0
2019,Field,49,Tyler Reddick,1,0,0,0,0,191,0,39,27,0,477.5,0,0,-361,0
2018,1,Gator Dad,Joey Logano,36,3,13,26,1,9826,934,9.8,10.7,33,13015.34,30,5040,0,15
2018,2,Up Front,"Martin Truex, Jr.",36,4,20,21,4,9760,1016,9.9,10.7,31,12987.83,30,5035,-5,30
2018,3,Baby Got Track,Kevin Harvick,36,8,23,29,4,9691,1990,8.8,8.8,32,12790.14,31,5034,-6,51
2018,4,Killer B's,Kyle Busch,36,8,22,28,4,10001,1469,7.4,8.3,33,13319.36,31,5033,-7,46
2018,5,Chasing Cletus,Aric Almirola,36,1,4,17,0,10003,181,15.6,12.8,34,13424.76,27,2354,"-2,686",6
2018,6,Chasing Cletus,Chase Elliott,36,3,11,21,1,9850,325,11.1,12.2,32,12947.08,25,2350,"-2,690",19
2018,7,Don't Beat My Johnson,Kurt Busch,36,1,6,22,5,9992,644,8.8,12.1,32,13255,26,2350,"-2,690",8
2018,8,Ricky Bobby,Brad Keselowski,36,3,12,20,0,9788,705,10.3,13.4,30,12763.11,27,2343,"-2,697",20
2018,9,Gator Dad,Kyle Larson,36,0,12,19,3,9768,782,12.8,12.6,32,12940.1,29,2299,"-2,741",4
2018,10,J-Town Throw Down,Ryan Blaney,36,1,8,16,3,9525,660,9.4,14.8,31,12945.56,27,2298,"-2,742",11
2018,11,Hollywood High Life,Denny Hamlin,36,0,10,17,4,9926,380,10.3,12.6,32,13127.85,27,2285,"-2,755",3
