Season,Rank,Driver,Races,Win,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Points,Diff,Ppts
2021,1,Denny Hamlin,2,0,2,2,0,270,103,14.5,4,2,752.7,2,104,0,3
2021,2,Joey Logano,2,0,1,1,0,269,36,10,7,1,750.2,1,92,-12,0
2021,3,Kevin Harvick,2,0,1,2,0,270,17,6.5,5,2,752.7,2,83,-21,0
2021,4,Christopher Bell,2,1,1,1,0,269,37,8.5,8.5,2,750.2,1,82,-22,5
2021,5,Chase Elliott,2,0,1,1,0,270,47,6.5,11.5,2,752.7,2,79,-25,1
2021,6,Michael McDowell,2,1,1,2,0,270,1,9.5,4.5,2,752.7,2,75,-29,5
2021,7,Ryan Preece,2,0,0,2,0,270,0,8.5,7.5,2,752.7,2,74,-30,0
2021,8,Kurt Busch,2,0,1,1,0,265,2,18.5,13,2,740.2,1,65,-39,0
2021,9,Austin Dillon,2,0,1,1,0,269,7,3.5,18.5,2,749.09,1,64,-40,0
2021,10,Brad Keselowski,2,0,1,1,0,269,0,19.5,9,1,750.2,1,64,-40,0
2021,11,Cole Custer,2,0,0,0,0,270,1,20,12,2,752.7,2,54,-50,0
2021,12,Kyle Larson,2,0,0,1,0,270,1,10.5,20,2,752.7,2,53,-51,0
2021,13,Bubba Wallace,2,0,0,0,0,268,1,8,21.5,1,747.7,1,52,-52,0
2021,14,"Martin Truex, Jr.",2,0,0,0,0,263,0,22.5,18.5,2,735.2,1,47,-57,0
2021,15,Corey LaJoie,2,0,0,1,0,270,0,11.5,20,2,752.7,2,38,-66,0
2021,16,"Ricky Stenhouse, Jr.",2,0,0,0,0,268,0,18.5,18,2,747.7,1,38,-66,0
2021,17,Kyle Busch,2,0,0,0,0,268,0,12,24.5,1,746.59,0,35,-69,0
2021,18,Chris Buescher,2,0,0,0,0,84,0,26,21,1,287.7,1,34,-70,0
2021,19,Ryan Blaney,2,0,0,0,0,84,0,20.5,22.5,1,287.7,1,34,-70,0
2021,20,Ross Chastain,2,0,0,1,0,226,0,21.5,23,1,593.86,1,33,-71,0
2021,21,Aric Almirola,2,0,0,0,0,83,0,14.5,25.5,1,285.2,1,33,-71,0
2021,22,Jamie McMurray,1,0,0,1,0,200,0,19,8,1,500,1,30,-74,0
2021,23,Alex Bowman,2,0,0,1,1,83,1,18.5,22.5,1,285.2,1,29,-75,0
2021,24,Ryan Newman,2,0,0,0,0,83,0,20,29,1,285.2,1,26,-78,0
2021,25,Daniel Suarez,2,0,0,0,0,83,2,25,26,1,285.2,1,25,-79,0
2021,26,Erik Jones,2,0,0,0,0,83,0,34,26.5,1,285.2,1,24,-80,0
2021,27,Chase Briscoe,2,0,0,0,0,267,0,24,25.5,2,745.2,1,23,-81,0
2021,28,Anthony Alfredo,2,0,0,0,0,84,0,33.5,27,1,287.7,1,20,-84,0
2021,29,William Byron,2,0,0,0,0,260,0,12,29.5,2,726.59,0,19,-85,0
2021,30,Joey Gase,1,0,0,0,0,196,0,28,20,1,490,0,17,-87,0
2021,31,James Davison,1,0,0,0,0,70,0,39,23,1,252.7,1,14,-90,0
2021,32,Josh Bilicki,2,0,0,0,0,262,0,30,30,1,730.48,0,14,-90,0
2021,33,Tyler Reddick,2,0,0,0,0,246,0,26.5,32.5,1,679.38,0,11,-93,0
2021,34,Kaz Grala,1,0,0,0,0,115,10,40,28,0,287.5,0,9,-95,0
2021,35,Scott Heckert,1,0,0,0,0,70,0,28,28,1,252.7,1,9,-95,0
2021,36,Quin Houff,2,0,0,0,0,40,0,31,34.5,0,103.33,0,9,-95,0
