Season,Race,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,Driver Rating
2021,1,Michael McDowell,17,18,1,1,35,14,5,102,97,71,69.6,7,103,51.5,1,0.5,200,94.2
2021,1,Chase Elliott,12,8,2,1,16,8,-2,131,133,122,93.1,3,199,99.5,3,1.5,200,103.4
2021,1,Austin Dillon,4,4,3,1,16,6,-7,108,115,97,89.8,2,199,99.5,7,3.5,200,108.5
2021,1,Kevin Harvick,8,14,4,1,17,6,3,109,106,102,93.6,3,196,98,17,8.5,200,107.7
2021,1,Denny Hamlin,25,3,5,1,38,6,-7,78,85,64,82.1,5,183,91.5,98,49,200,119.6
2021,1,Ryan Preece,11,10,6,2,19,9,8,132,124,114,86.4,9,195,97.5,0,0,200,97.9
2021,1,Ross Chastain,34,9,7,1,34,12,8,121,113,72,59.5,7,155,77.5,0,0,200,97.1
2021,1,Jamie McMurray,19,15,8,2,30,17,1,87,86,41,47.1,8,109,54.5,0,0,200,85.3
2021,1,Corey LaJoie,16,17,9,4,24,14,-17,107,124,76,71,8,139,69.5,0,0,200,90.8
2021,1,Kyle Larson,13,7,10,1,18,9,20,126,106,112,88.9,6,190,95,1,0.5,200,96.4
2021,1,Cole Custer,27,16,11,1,37,13,7,125,118,95,76,6,143,71.5,1,0.5,200,84.4
2021,1,Joey Logano,9,6,12,1,24,7,8,158,150,147,93,6,194,97.5,26,13.1,199,104.4
2021,1,Brad Keselowski,24,12,13,1,39,12,-13,117,130,104,88.9,6,171,85.9,0,0,199,90.3
2021,1,Kyle Busch,10,2,14,1,16,5,-1,110,111,102,92.7,1,200,100.5,0,0,199,114.6
2021,1,Austin Cindric,39,5,15,1,39,10,-8,91,99,74,81.3,8,166,83.4,2,1,199,91.5
2021,1,Christopher Bell,5,1,16,1,24,11,13,108,95,69,63.9,11,105,52.8,32,16.1,199,97.3
2021,1,Bubba Wallace,6,13,17,1,39,12,18,132,114,96,72.7,10,128,64.6,1,0.5,198,87.5
2021,1,"Ricky Stenhouse, Jr.",21,11,18,4,28,15,0,114,114,68,59.6,2,97,49,0,0,198,71
2021,1,Chase Briscoe,30,24,19,1,38,22,-1,24,25,0,0,7,4,2,0,0,197,62.6
2021,1,Joey Gase,28,20,20,11,37,20,-23,38,61,4,10.5,0,5,2.6,0,0,196,61.3
2021,1,Cody Ware,35,23,21,11,39,22,-7,28,35,0,0,0,5,2.6,0,0,196,59.2
2021,1,Kurt Busch,20,25,22,10,29,25,7,43,36,20,46.5,7,4,2.1,0,0,195,60.9
2021,1,B.J. McLeod,38,21,23,2,38,20,-8,43,51,0,0,0,14,7.2,0,0,195,62.3
2021,1,Josh Bilicki,37,22,24,11,40,22,-28,22,50,1,4.5,0,4,2.1,0,0,194,57.7
2021,1,"Martin Truex, Jr.",26,28,25,17,32,27,26,44,18,0,0,23,0,0,0,0,193,55.5
2021,1,William Byron,2,27,26,2,32,27,5,39,34,0,0,2,0,0,0,0,191,51
2021,1,Tyler Reddick,29,26,27,14,29,26,5,42,37,4,9.5,3,1,0.5,0,0,188,53.2
2021,1,Kaz Grala,40,19,28,1,40,22,4,35,31,0,0,4,14,12.2,10,8.7,115,67.6
2021,1,Quin Houff,33,29,29,10,38,28,-12,20,32,2,10,0,3,8.1,0,0,37,43.3
2021,1,Ryan Blaney,14,30,30,6,21,29,-9,35,44,15,42.9,0,8,57.1,0,0,14,43.3
2021,1,Chris Buescher,22,31,31,14,25,30,-4,18,22,2,11.1,0,1,7.1,0,0,14,37.2
2021,1,Anthony Alfredo,36,32,32,20,36,31,9,33,24,0,0,0,0,0,0,0,14,37
2021,1,Matt DiBenedetto,23,33,33,12,34,32,7,42,35,12,28.6,0,2,14.3,0,0,14,36.5
2021,1,Aric Almirola,3,34,34,1,12,32,-8,14,22,14,100,0,13,100,0,0,13,41.5
2021,1,Alex Bowman,1,35,35,1,14,33,-12,15,27,15,100,0,13,100,1,7.7,13,40.7
2021,1,Daniel Suarez,15,36,36,8,18,34,3,37,34,27,73,0,11,84.6,0,0,13,35.5
2021,1,David Ragan,18,37,37,10,21,35,-2,41,43,30,73.2,0,10,76.9,0,0,13,30.7
2021,1,Ryan Newman,7,38,38,1,15,36,-4,32,36,29,90.6,0,13,100,0,0,13,30.8
2021,1,Erik Jones,31,39,39,9,35,38,20,49,29,19,38.8,0,3,23.1,0,0,13,30.3
2021,1,Derrike Cope,32,40,40,21,35,40,-9,5,14,0,0,0,0,0,0,0,3,23.2
2020,36,Chase Elliott,1,1,1,1,36,4,39,76,37,39,51.3,53,298,95.5,153,49,312,136.5
2020,36,Brad Keselowski,3,3,2,1,27,4,14,67,53,44,65.7,47,301,96.5,16,5.1,312,121.3
2020,36,Joey Logano,2,4,3,1,21,2,-4,30,34,16,53.3,47,309,99,125,40.1,312,131.3
2020,36,Denny Hamlin,4,2,4,1,14,3,0,38,38,26,68.4,39,312,100,0,0,312,118.5
2020,36,Jimmie Johnson,26,9,5,1,26,9,30,95,65,55,57.9,12,284,91,4,1.3,312,105.5
2020,36,Ryan Blaney,5,5,6,1,26,6,-3,69,72,37,53.6,8,307,98.4,1,0.3,312,107.8
2020,36,Kevin Harvick,11,11,7,5,26,11,-2,71,73,39,54.9,3,278,89.1,0,0,312,92.5
2020,36,Matt DiBenedetto,12,12,8,1,14,9,6,84,78,56,66.7,9,312,100,1,0.3,312,98.8
2020,36,William Byron,25,17,9,5,25,12,10,108,98,55,50.9,0,253,81.1,0,0,312,88.3
2020,36,"Martin Truex, Jr.",13,10,10,6,21,13,-10,107,117,63,58.9,1,233,74.7,0,0,312,84.9
2020,36,Kyle Busch,8,19,11,2,30,11,-6,86,92,41,47.7,8,264,84.6,0,0,312,97.7
2020,36,Kurt Busch,7,13,12,1,18,9,-11,51,62,37,72.5,3,306,98.1,4,1.3,312,92.3
2020,36,Aric Almirola,10,6,13,1,30,15,13,102,89,42,41.2,0,207,66.6,7,2.3,311,76.1
2020,36,Clint Bowyer,9,15,14,3,24,11,-16,83,99,42,50.6,0,289,92.9,0,0,311,86.8
2020,36,Bubba Wallace,23,22,15,7,27,19,0,105,105,11,10.5,0,26,8.4,0,0,311,69.2
2020,36,Alex Bowman,6,21,16,3,29,14,-15,76,91,10,13.2,4,129,41.5,0,0,311,77.9
2020,36,Christopher Bell,17,23,17,2,26,18,-6,98,104,23,23.5,6,50,16.1,0,0,311,69.4
2020,36,Austin Dillon,18,16,18,2,29,18,7,116,109,15,12.9,2,64,20.6,0,0,311,68.1
2020,36,Tyler Reddick,21,14,19,8,25,17,5,132,127,31,23.5,1,107,34.4,0,0,311,70.6
2020,36,Chris Buescher,31,26,20,15,31,25,2,94,92,2,2.1,0,0,0,0,0,311,54.5
2020,36,Ty Dillon,22,27,21,19,30,27,-1,61,62,0,0,0,0,0,0,0,311,50.5
2020,36,Erik Jones,14,20,22,9,28,17,-14,80,94,23,28.8,3,138,44.4,0,0,311,69.3
2020,36,Michael McDowell,29,8,23,3,31,23,21,114,93,14,12.3,0,34,10.9,0,0,311,53.8
2020,36,Ryan Newman,19,25,24,18,31,24,-1,95,96,0,0,0,0,0,0,0,311,54.3
2020,36,Matt Kenseth,16,24,25,14,30,23,-16,80,96,8,10,3,12,3.9,0,0,311,56.9
2020,36,John Hunter Nemechek,27,28,26,18,32,26,0,58,58,0,0,0,0,0,0,0,311,48.5
2020,36,"Ricky Stenhouse, Jr.",20,7,27,1,28,22,-8,108,116,15,13.9,3,26,8.4,1,0.3,310,57.9
2020,36,Cole Custer,15,18,28,11,29,19,-9,111,120,50,45,18,130,41.9,0,0,310,68.8
2020,36,Brennan Poole,35,29,29,8,35,28,9,66,57,8,12.1,0,5,1.6,0,0,309,42.2
2020,36,J.J. Yeley,32,32,30,30,34,32,-1,11,12,0,0,1,0,0,0,0,306,39.1
2020,36,Daniel Suarez,30,31,31,28,36,31,-8,20,28,0,0,3,0,0,0,0,306,41.4
2020,36,Joey Gase,37,34,32,32,38,34,-2,15,17,0,0,0,0,0,0,0,302,31.2
2020,36,James Davison,36,33,33,32,37,34,4,19,15,0,0,0,0,0,0,0,302,33.7
2020,36,Ryan Preece,24,30,34,22,39,33,-1,26,27,0,0,1,0,0,0,0,299,38.9
2020,36,Josh Bilicki,38,36,35,35,38,37,3,9,6,0,0,0,0,0,0,0,296,27.3
2020,36,Timmy Hill,33,38,36,33,39,38,-4,5,9,0,0,2,0,0,0,0,288,25.5
2020,36,Garrett Smithley,39,35,37,31,39,35,-7,9,16,0,0,0,0,0,0,0,261,31.2
2020,36,Corey LaJoie,28,37,38,7,39,31,-12,60,72,7,11.7,8,6,2.8,0,0,215,49.2
2020,36,Quin Houff,34,39,39,33,39,38,-7,6,13,0,0,0,0,0,0,0,149,26.5
2020,35,Chase Elliott,8,1,1,1,17,3,33,50,17,50,100,110,497,99.4,236,47.2,500,145.6
2020,35,Ryan Blaney,10,4,2,1,28,7,29,59,30,39,66.1,51,432,86.4,36,7.2,500,118.6
2020,35,Joey Logano,7,8,3,1,23,5,7,44,37,42,95.5,23,495,99,19,3.8,500,116.1
2020,35,Brad Keselowski,1,7,4,1,24,8,27,69,42,60,87,27,465,93,3,0.6,500,103.9
2020,35,Kurt Busch,5,6,5,1,22,6,14,58,44,54,93.1,6,486,97.2,23,4.6,500,108.6
2020,35,Alex Bowman,3,9,6,1,14,7,-5,40,45,37,92.5,8,500,100,1,0.2,500,102.2
2020,35,Aric Almirola,20,12,7,3,31,11,-23,56,79,47,83.9,12,449,89.8,0,0,500,91.8
2020,35,Clint Bowyer,16,13,8,1,32,13,40,90,50,47,52.2,10,386,77.2,0,0,500,89.8
2020,35,Kyle Busch,9,5,9,1,20,7,2,48,46,45,93.8,9,493,98.6,5,1,500,99.4
2020,35,Matt DiBenedetto,12,17,10,6,23,15,-15,78,93,38,48.7,0,250,50,0,0,500,79.5
2020,35,Denny Hamlin,4,2,11,1,29,8,27,61,34,44,72.1,25,420,84,42,8.4,500,97.4
2020,35,Erik Jones,19,15,12,9,30,15,20,64,44,36,56.2,2,323,64.6,0,0,500,82.1
2020,35,Cole Custer,15,14,13,3,26,14,-7,65,72,44,67.7,0,360,72,0,0,500,81.5
2020,35,Matt Kenseth,31,26,14,11,32,22,27,73,46,7,9.6,3,48,9.6,0,0,500,67.6
2020,35,Christopher Bell,11,20,15,7,29,17,0,73,73,12,16.4,0,141,28.2,0,0,500,73.8
2020,35,Ty Dillon,25,16,16,4,30,20,-17,78,95,16,20.5,0,82,16.4,0,0,500,67
2020,35,Kevin Harvick,6,31,17,1,32,21,-3,42,45,22,52.4,5,179,35.8,0,0,500,77.5
2020,35,Ryan Newman,21,10,18,6,23,15,1,62,61,40,64.5,0,279,55.9,0,0,499,73.7
2020,35,Ryan Preece,22,27,19,12,31,24,-1,58,59,0,0,0,0,0,0,0,499,55
2020,35,"Ricky Stenhouse, Jr.",18,21,20,5,29,21,-7,66,73,2,3,0,6,1.2,0,0,499,63
2020,35,Bubba Wallace,32,22,21,6,32,23,-3,53,56,6,11.3,0,44,8.8,0,0,499,55.8
2020,35,"Martin Truex, Jr.",2,3,22,1,25,4,-9,40,49,33,82.5,75,471,94.4,129,25.9,499,111.6
2020,35,Austin Dillon,14,18,23,4,27,20,-21,67,88,12,17.9,0,61,12.2,0,0,498,60.3
2020,35,Tyler Reddick,17,23,24,8,30,23,-20,49,69,0,0,1,10,2,0,0,498,57.5
2020,35,Corey LaJoie,26,19,25,1,30,20,-22,80,102,8,10,1,86,17.3,6,1.2,498,59.5
2020,35,John Hunter Nemechek,23,24,26,9,30,26,-24,43,67,0,0,0,5,1,0,0,498,48.2
2020,35,Daniel Suarez,29,25,27,8,32,27,-3,69,72,0,0,1,1,0.2,0,0,497,44.7
2020,35,Michael McDowell,24,33,28,23,39,33,-12,7,19,0,0,8,0,0,0,0,497,36.5
2020,35,Timmy Hill,34,29,29,8,37,31,-3,17,20,0,0,2,3,0.6,0,0,495,38.8
2020,35,Jimmie Johnson,27,28,30,3,32,24,-3,55,58,21,38.2,22,87,17.6,0,0,495,55.1
2020,35,J.J. Yeley,38,30,31,16,38,31,-1,17,18,0,0,0,0,0,0,0,494,39.5
2020,35,Josh Bilicki,33,34,32,32,38,34,-5,5,10,0,0,1,0,0,0,0,490,33.5
2020,35,Quin Houff,35,35,33,33,39,35,-3,5,8,0,0,0,0,0,0,0,489,28.8
