Race,Rank,PlusMinus,Driver,Points,Back,Starts,Pole,Win,Top5,Top10,StageWins,PlayoffPoints
1,1,0,Denny Hamlin,52,0,1,0,1,1,1,0,5
1,2,0,Joey Logano,52,0,1,0,0,1,1,0,0
1,3,0,Kyle Busch,45,-7,1,0,0,1,1,1,1
1,4,0,"Ricky Stenhouse, Jr.",39,-13,1,0,0,0,0,0,0
1,5,0,Erik Jones,35,-17,1,0,0,1,1,0,0
1,6,0,Alex Bowman,35,-17,1,0,0,0,0,0,0
1,7,0,Kyle Larson,33,-19,1,0,0,0,1,0,0
1,8,0,Jimmie Johnson,33,-19,1,0,0,0,1,0,0
1,9,0,Michael McDowell,32,-20,1,0,0,1,1,0,0
1,10,0,Ty Dillon,32,-20,1,0,0,0,1,0,0
1,11,0,Brad Keselowski,32,-20,1,0,0,0,0,0,0
1,12,0,Ryan Preece,30,-22,1,0,0,0,1,0,0
1,13,0,Chase Elliott,27,-25,1,0,0,0,0,0,0
1,14,0,Kevin Harvick,27,-25,1,0,0,0,0,0,0
1,15,0,Ryan Blaney,27,-25,1,0,0,0,0,1,1
1,16,0,Clint Bowyer,26,-26,1,0,0,0,0,0,0
1,17,0,Ryan Newman,25,-27,1,0,0,0,0,0,0
1,18,0,William Byron,25,-27,1,1,0,0,0,0,0
1,19,0,Austin Dillon,23,-29,1,0,0,0,0,0,0
1,20,0,Matt DiBenedetto,21,-31,1,0,0,0,0,0,0
1,21,0,Aric Almirola,21,-31,1,0,0,0,0,0,0
1,22,0,Corey LaJoie,19,-33,1,0,0,0,0,0,0
1,23,0,Jamie McMurray,19,-33,1,0,0,0,0,0,0
1,24,0,Kurt Busch,18,-34,1,0,0,0,0,0,0
1,25,0,Paul Menard,16,-36,1,0,0,0,0,0,0
1,26,0,Daniel Suarez,14,-38,1,0,0,0,0,0,0
1,27,0,Landon Cassill,13,-39,1,0,0,0,0,0,0
1,28,0,"Martin Truex, Jr.",8,-44,1,0,0,0,0,0,0
1,29,0,David Ragan,7,-45,1,0,0,0,0,0,0
1,30,0,Bubba Wallace,6,-46,1,0,0,0,0,0,0
1,31,0,Chris Buescher,5,-47,1,0,0,0,0,0,0
1,32,0,Daniel Hemric,3,-49,1,0,0,0,0,0,0
1,33,0,Matt Tifft,1,-51,1,0,0,0,0,0,0
1,34,0,Cody Ware,1,-51,1,0,0,0,0,0,0
1,35,0,Casey Mears,1,-51,1,0,0,0,0,0,0
1,36,0,Ross Chastain,0,-52,1,0,0,0,1,0,0
1,37,0,Parker Kligerman,0,-52,1,0,0,0,0,0,0
1,38,0,BJ McLeod,0,-52,1,0,0,0,0,0,0
1,39,0,Brendan Gaughan,0,-52,1,0,0,0,0,0,0
1,40,0,Tyler Reddick,0,-52,1,0,0,0,0,0,0
2,1,0,Denny Hamlin,87,0,2,0,1,1,1,0,5
2,2,12,Kevin Harvick,79,-8,2,0,0,1,1,1,1
2,3,0,Kyle Busch,78,-9,2,0,0,1,2,1,1
2,4,3,Kyle Larson,77,-10,2,0,0,0,1,1,1
2,5,-3,Joey Logano,75,-12,2,0,0,1,1,0,0
2,6,5,Brad Keselowski,72,-15,2,0,1,1,1,0,5
2,7,-2,Erik Jones,68,-19,2,0,0,1,2,0,0
2,8,16,Kurt Busch,63,-24,2,0,0,1,1,0,0
2,9,7,Clint Bowyer,60,-27,2,0,0,1,1,0,0
2,10,-6,"Ricky Stenhouse, Jr.",60,-27,2,0,0,0,0,0,0
2,11,10,Aric Almirola,58,-29,2,1,0,0,1,0,0
2,12,16,"Martin Truex, Jr.",57,-30,2,0,0,1,1,0,0
2,13,-7,Alex Bowman,57,-30,2,0,0,0,0,0,0
2,14,1,Ryan Blaney,54,-33,2,0,0,0,0,1,1
2,15,2,Ryan Newman,49,-38,2,0,0,0,0,0,0
2,16,-8,Jimmie Johnson,46,-41,2,0,0,0,1,0,0
2,17,-4,Chase Elliott,45,-42,2,0,0,0,0,0,0
2,18,0,William Byron,45,-42,2,1,0,0,0,0,0
2,19,-9,Ty Dillon,44,-43,2,0,0,0,1,0,0
2,20,6,Daniel Suarez,41,-46,2,0,0,0,1,0,0
2,21,4,Paul Menard,39,-48,2,0,0,0,0,0,0
2,22,-3,Austin Dillon,39,-48,2,0,0,0,0,0,0
2,23,-14,Michael McDowell,33,-54,2,0,0,1,1,0,0
2,24,7,Chris Buescher,33,-54,2,0,0,0,1,0,0
2,25,-13,Ryan Preece,32,-55,2,0,0,0,1,0,0
2,26,-6,Matt DiBenedetto,32,-55,2,0,0,0,0,0,0
2,27,2,David Ragan,28,-59,2,0,0,0,0,0,0
2,28,-6,Corey LaJoie,27,-60,2,0,0,0,0,0,0
2,29,3,Daniel Hemric,20,-67,2,0,0,0,0,0,0
2,30,-7,Jamie McMurray,19,-68,1,0,0,0,0,0,0
2,31,-4,Landon Cassill,16,-71,2,0,0,0,0,0,0
2,32,-2,Bubba Wallace,16,-71,2,0,0,0,0,0,0
2,33,0,Matt Tifft,10,-77,2,0,0,0,0,0,0
2,34,0,Cody Ware,5,-82,2,0,0,0,0,0,0
2,35,0,Casey Mears,1,-86,1,0,0,0,0,0,0
2,36,0,Ross Chastain,0,-87,2,0,0,0,1,0,0
2,37,0,Parker Kligerman,0,-87,2,0,0,0,0,0,0
2,38,0,BJ McLeod,0,-87,2,0,0,0,0,0,0
2,39,0,Brendan Gaughan,0,-87,1,0,0,0,0,0,0
2,40,0,Tyler Reddick,0,-87,1,0,0,0,0,0,0
2,41,0,Garrett Smithley,0,-87,1,0,0,0,1,0,0
3,1,4,Joey Logano,133,0,3,0,1,2,2,1,6
3,2,-1,Denny Hamlin,127,-6,3,0,1,1,2,0,5
3,3,0,Kyle Busch,121,-12,3,0,0,2,3,1,1
3,4,-2,Kevin Harvick,121,-12,3,1,0,2,2,2,2
3,5,1,Brad Keselowski,115,-18,3,0,1,2,2,0,5
3,6,-2,Kyle Larson,102,-31,3,0,0,0,1,1,1
3,7,0,Erik Jones,98,-35,3,0,0,1,2,0,0
3,8,0,Kurt Busch,95,-38,3,0,0,2,2,0,0
3,9,3,"Martin Truex, Jr.",92,-41,3,0,0,1,2,0,0
3,10,1,Aric Almirola,92,-41,3,1,0,0,2,0,0
3,11,-1,"Ricky Stenhouse, Jr.",90,-43,3,0,0,0,1,0,0
3,12,1,Alex Bowman,85,-48,3,0,0,0,0,0,0
3,13,-4,Clint Bowyer,83,-50,3,0,0,1,1,0,0
3,14,3,Chase Elliott,81,-52,3,0,0,0,1,0,0
3,15,-1,Ryan Blaney,69,-64,3,0,0,0,0,1,1
3,16,2,William Byron,66,-67,3,1,0,0,0,0,0
3,17,3,Daniel Suarez,63,-70,3,0,0,0,1,0,0
3,18,-2,Jimmie Johnson,62,-71,3,0,0,0,1,0,0
3,19,-4,Ryan Newman,60,-73,3,0,0,0,0,0,0
3,20,2,Austin Dillon,56,-77,3,0,0,0,0,0,0
3,21,0,Paul Menard,53,-80,3,0,0,0,0,0,0
3,22,-3,Ty Dillon,52,-81,3,0,0,0,1,0,0
3,23,1,Chris Buescher,48,-85,3,0,0,0,1,0,0
3,24,-1,Ryan Preece,43,-90,3,0,0,0,1,0,0
3,25,-1,Matt DiBenedetto,41,-92,3,0,0,0,0,0,0
3,26,3,Michael McDowell,40,-93,3,0,0,1,1,0,0
3,27,0,David Ragan,37,-96,3,0,0,0,0,0,0
3,28,0,Corey LaJoie,37,-96,3,0,0,0,0,0,0
3,29,0,Daniel Hemric,34,-99,3,0,0,0,0,0,0
3,30,2,Bubba Wallace,22,-111,3,0,0,0,0,0,0
3,31,0,Landon Cassill,21,-112,3,0,0,0,0,0,0
3,32,-2,Jamie McMurray,19,-114,1,0,0,0,0,0,0
3,33,0,Matt Tifft,13,-120,3,0,0,0,0,0,0
3,34,0,Cody Ware,7,-126,3,0,0,0,0,0,0
3,35,0,Reed Sorenson,1,-132,1,0,0,0,0,0,0
3,36,-1,Casey Mears,1,-132,1,0,0,0,0,0,0
3,37,1,BJ McLeod,0,-133,3,0,0,0,0,0,0
3,38,0,Brendan Gaughan,0,-133,1,0,0,0,0,0,0
3,39,0,Garrett Smithley,0,-133,1,0,0,0,0,0,0
3,40,0,Joey Gase,0,-133,1,0,0,0,0,0,0
3,41,0,Parker Kligerman,0,-133,3,0,0,0,0,0,0
3,42,0,Ross Chastain,0,-133,3,0,0,0,1,0,0
3,43,0,Tyler Reddick,0,-133,1,0,0,0,0,0,0
4,1,3,Kyle Busch,177,0,4,0,1,3,4,2,7
4,2,-1,Joey Logano,171,-6,4,0,1,2,3,1,6
4,3,-1,Kevin Harvick,168,-9,4,1,0,2,3,2,2
4,4,-1,Denny Hamlin,165,-12,4,0,1,2,3,0,5
4,5,3,"Martin Truex, Jr.",140,-37,4,0,0,2,3,0,0
4,6,0,Kyle Larson,138,-39,4,0,0,0,2,1,1
4,7,4,Aric Almirola,134,-43,4,1,0,1,3,0,0
4,8,-3,Brad Keselowski,133,-44,4,0,1,2,2,0,5
4,9,1,Kurt Busch,126,-51,4,0,0,2,3,0,0
4,10,-3,"Ricky Stenhouse, Jr.",123,-54,4,0,0,0,1,0,0
4,11,2,Clint Bowyer,118,-59,4,0,0,1,1,0,0
4,12,3,Ryan Blaney,113,-64,4,1,0,1,1,2,2
4,13,1,Chase Elliott,108,-69,4,0,0,0,1,0,0
4,14,-5,Erik Jones,106,-71,4,0,0,1,2,0,0
4,15,2,Jimmie Johnson,98,-79,4,0,0,0,2,0,0
4,16,-4,Alex Bowman,94,-83,4,0,0,0,0,0,0
4,17,2,Ryan Newman,92,-85,4,0,0,0,0,0,0
4,18,-2,William Byron,82,-95,4,1,0,0,0,0,0
4,19,1,Paul Menard,81,-96,4,0,0,0,0,0,0
4,20,-2,Daniel Suarez,77,-100,4,0,0,0,1,0,0
4,21,0,Austin Dillon,76,-101,4,0,0,0,0,0,0
4,22,0,Ty Dillon,74,-103,4,0,0,0,1,0,0
4,23,0,Chris Buescher,73,-104,4,0,0,0,1,0,0
4,24,0,Matt DiBenedetto,57,-120,4,0,0,0,0,0,0
4,25,4,Daniel Hemric,53,-124,4,0,0,0,0,0,0
4,26,1,David Ragan,49,-128,4,0,0,0,0,0,0
4,27,1,Corey LaJoie,48,-129,4,0,0,0,0,0,0
4,28,-3,Ryan Preece,47,-130,4,0,0,0,1,0,0
4,29,1,Bubba Wallace,42,-135,4,0,0,0,0,0,0
4,30,-4,Michael McDowell,41,-136,4,0,0,1,1,0,0
4,31,2,Matt Tifft,30,-147,4,0,0,0,0,0,0
4,32,-1,Landon Cassill,25,-152,4,0,0,0,0,0,0
4,33,-1,Jamie McMurray,19,-158,1,0,0,0,0,0,0
4,34,0,Cody Ware,12,-165,4,0,0,0,0,0,0
4,35,10,Quin Houff,7,-170,1,0,0,0,0,0,0
4,36,-1,Reed Sorenson,1,-176,1,0,0,0,0,0,0
4,37,-1,Casey Mears,1,-176,1,0,0,0,0,0,0
4,38,-1,Ross Chastain,0,-177,4,0,0,0,1,0,0
4,39,-1,Parker Kligerman,0,-177,3,0,0,0,0,0,0
4,40,-1,BJ McLeod,0,-177,3,0,0,0,0,0,0
4,41,-1,Brendan Gaughan,0,-177,1,0,0,0,0,0,0
4,42,-1,Tyler Reddick,0,-177,1,0,0,0,0,0,0
4,43,3,Bayley Currey,0,-177,1,0,0,0,0,0,0
4,44,-2,Garrett Smithley,0,-177,1,0,0,0,0,0,0
4,45,-2,Joey Gase,0,-177,2,0,0,0,0,0,0
4,46,-2,Ryan Truex,0,-177,1,0,0,0,0,0,0
5,1,0,Kyle Busch,237,0,5,0,2,4,5,4,14
5,2,0,Joey Logano,222,-15,5,0,1,3,4,1,6
5,3,0,Kevin Harvick,213,-24,5,1,0,3,4,2,2
5,4,0,Denny Hamlin,205,-32,5,0,1,2,4,0,5
5,5,3,Brad Keselowski,176,-61,5,0,1,3,3,0,5
5,6,1,Aric Almirola,174,-63,5,1,0,1,4,0,0
5,7,-2,"Martin Truex, Jr.",169,-68,5,0,0,2,4,0,0
5,8,-2,Kyle Larson,163,-74,5,0,0,0,2,1,1
5,9,0,Kurt Busch,160,-77,5,0,0,2,4,0,0
5,10,2,Ryan Blaney,155,-82,5,1,0,2,2,2,2
5,11,-1,"Ricky Stenhouse, Jr.",146,-91,5,0,0,0,1,0,0
5,12,1,Chase Elliott,135,-102,5,0,0,0,1,0,0
5,13,1,Erik Jones,133,-104,5,0,0,1,2,0,0
5,14,1,Jimmie Johnson,121,-116,5,0,0,0,2,0,0
5,15,-4,Clint Bowyer,119,-118,5,0,0,1,1,0,0
5,16,0,Alex Bowman,110,-127,5,0,0,0,0,0,0
5,17,0,Ryan Newman,107,-130,5,0,0,0,0,0,0
5,18,2,Daniel Suarez,105,-132,5,0,0,0,1,0,0
5,19,-1,William Byron,104,-133,5,1,0,0,0,0,0
5,20,1,Austin Dillon,103,-134,5,1,0,0,1,0,0
5,21,-2,Paul Menard,98,-139,5,0,0,0,0,0,0
5,22,1,Chris Buescher,94,-143,5,0,0,0,1,0,0
5,23,-1,Ty Dillon,84,-153,5,0,0,0,1,0,0
5,24,0,Matt DiBenedetto,76,-161,5,0,0,0,0,0,0
5,25,3,Ryan Preece,61,-176,5,0,0,0,1,0,0
5,26,0,David Ragan,61,-176,5,0,0,0,0,0,0
5,27,-2,Daniel Hemric,58,-179,5,0,0,0,0,0,0
5,28,2,Michael McDowell,54,-183,5,0,0,1,1,0,0
5,29,-2,Corey LaJoie,54,-183,5,0,0,0,0,0,0
5,30,-1,Bubba Wallace,49,-188,5,0,0,0,0,0,0
5,31,0,Matt Tifft,41,-196,5,0,0,0,0,0,0
5,32,0,Landon Cassill,33,-204,5,0,0,0,0,0,0
5,33,0,Jamie McMurray,19,-218,1,0,0,0,0,0,0
5,34,0,Cody Ware,17,-220,5,0,0,0,0,0,0
5,35,0,Quin Houff,7,-230,1,0,0,0,0,0,0
5,36,0,Reed Sorenson,4,-233,2,0,0,0,0,0,0
5,37,0,Casey Mears,1,-236,1,0,0,0,0,0,0
5,38,0,Ross Chastain,0,-237,5,0,0,0,1,0,0
5,39,0,Parker Kligerman,0,-237,3,0,0,0,0,0,0
5,40,0,BJ McLeod,0,-237,4,0,0,0,0,0,0
5,41,0,Brendan Gaughan,0,-237,1,0,0,0,0,0,0
5,42,0,Tyler Reddick,0,-237,1,0,0,0,0,0,0
5,43,0,Bayley Currey,0,-237,1,0,0,0,0,0,0
5,44,1,Joey Gase,0,-237,3,0,0,0,0,0,0
5,45,-1,Garrett Smithley,0,-237,2,0,0,0,0,0,0
5,46,0,Ryan Truex,0,-237,1,0,0,0,0,0,0
6,1,0,Kyle Busch,273,0,6,0,2,5,6,4,14
6,2,2,Denny Hamlin,252,-21,6,0,1,3,5,0,5
6,3,0,Kevin Harvick,248,-25,6,1,0,3,5,2,2
6,4,-2,Joey Logano,245,-28,6,1,1,3,4,1,6
6,5,0,Brad Keselowski,236,-37,6,0,2,4,4,2,12
6,6,0,Aric Almirola,215,-58,6,1,0,1,5,0,0
6,7,0,"Martin Truex, Jr.",207,-66,6,0,0,2,5,0,0
6,8,2,Ryan Blaney,203,-70,6,1,0,3,3,2,2
6,9,3,Chase Elliott,186,-87,6,0,0,1,2,0,0
6,10,-1,Kurt Busch,185,-88,6,0,0,2,4,0,0
6,11,-3,Kyle Larson,182,-91,6,0,0,0,2,1,1
6,12,-1,"Ricky Stenhouse, Jr.",158,-115,6,0,0,0,1,0,0
6,13,2,Clint Bowyer,157,-116,6,0,0,1,2,0,0
6,14,-1,Erik Jones,140,-133,6,0,0,1,2,0,0
6,15,-1,Jimmie Johnson,134,-139,6,0,0,0,2,0,0
6,16,2,Daniel Suarez,134,-139,6,0,0,0,2,0,0
6,17,-1,Alex Bowman,133,-140,6,0,0,0,0,0,0
6,18,2,Austin Dillon,130,-143,6,1,0,0,1,0,0
6,19,-2,Ryan Newman,121,-152,6,0,0,0,0,0,0
6,20,1,Paul Menard,120,-153,6,0,0,0,0,0,0
6,21,-2,William Byron,119,-154,6,1,0,0,0,0,0
6,22,0,Chris Buescher,110,-163,6,0,0,0,1,0,0
6,23,0,Ty Dillon,108,-165,6,0,0,0,1,0,0
6,24,0,Matt DiBenedetto,93,-180,6,0,0,0,0,0,0
6,25,0,Ryan Preece,82,-191,6,0,0,0,1,0,0
6,26,0,David Ragan,72,-201,6,0,0,0,0,0,0
6,27,3,Bubba Wallace,69,-204,6,0,0,0,0,0,0
6,28,-1,Daniel Hemric,68,-205,6,0,0,0,0,0,0
6,29,-1,Michael McDowell,60,-213,6,0,0,1,1,0,0
6,30,-1,Corey LaJoie,58,-215,6,0,0,0,0,0,0
6,31,0,Matt Tifft,49,-224,6,0,0,0,0,0,0
6,32,0,Landon Cassill,42,-231,6,0,0,0,0,0,0
6,33,0,Jamie McMurray,19,-254,1,0,0,0,0,0,0
6,34,0,Cody Ware,18,-255,6,0,0,0,0,0,0
6,35,0,Quin Houff,7,-266,1,0,0,0,0,0,0
6,36,0,Reed Sorenson,4,-269,2,0,0,0,0,0,0
6,37,0,Casey Mears,1,-272,1,0,0,0,0,0,0
6,38,0,Ross Chastain,0,-273,6,0,0,0,1,0,0
6,39,0,Parker Kligerman,0,-273,3,0,0,0,0,0,0
6,40,0,BJ McLeod,0,-273,4,0,0,0,0,0,0
6,41,0,Brendan Gaughan,0,-273,1,0,0,0,0,0,0
6,42,0,Tyler Reddick,0,-273,1,0,0,0,0,0,0
6,43,0,Bayley Currey,0,-273,1,0,0,0,0,0,0
6,44,4,DJ Kennington,0,-273,1,0,0,0,0,0,0
6,45,-1,Joey Gase,0,-273,3,0,0,0,0,0,0
6,46,1,Jeb Burton,0,-273,1,0,0,0,0,0,0
6,47,-2,Garrett Smithley,0,-273,2,0,0,0,0,0,0
6,48,-2,Ryan Truex,0,-273,1,0,0,0,0,0,0
7,1,0,Kyle Busch,310,0,7,0,2,5,7,4,14
7,2,0,Denny Hamlin,302,-8,7,0,2,4,6,1,11
7,3,0,Kevin Harvick,277,-33,7,1,0,3,6,2,2
7,4,0,Joey Logano,275,-35,7,1,1,3,4,2,7
7,5,1,Aric Almirola,245,-65,7,1,0,1,6,0,0
7,6,-1,Brad Keselowski,237,-73,7,0,2,4,4,2,12
7,7,0,"Martin Truex, Jr.",232,-78,7,0,0,2,5,0,0
7,8,0,Ryan Blaney,219,-91,7,1,0,3,3,2,2
7,9,0,Chase Elliott,218,-92,7,0,0,1,2,0,0
7,10,0,Kurt Busch,213,-97,7,0,0,2,5,0,0
7,11,2,Clint Bowyer,192,-118,7,0,0,2,3,0,0
7,12,-1,Kyle Larson,185,-125,7,0,0,0,2,1,1
7,13,-1,"Ricky Stenhouse, Jr.",183,-127,7,0,0,0,1,0,0
7,14,2,Daniel Suarez,180,-130,7,0,0,1,3,0,0
7,15,0,Jimmie Johnson,176,-134,7,1,0,1,3,0,0
7,16,-2,Erik Jones,173,-137,7,0,0,2,3,0,0
7,17,1,Austin Dillon,160,-150,7,1,0,0,1,0,0
7,18,3,William Byron,153,-157,7,1,0,0,1,0,0
7,19,-2,Alex Bowman,152,-158,7,0,0,0,0,0,0
7,20,-1,Ryan Newman,152,-158,7,0,0,0,0,0,0
7,21,-1,Paul Menard,149,-161,7,0,0,0,0,0,0
7,22,0,Chris Buescher,128,-182,7,0,0,0,1,0,0
7,23,0,Ty Dillon,124,-186,7,0,0,0,1,0,0
7,24,0,Matt DiBenedetto,104,-206,7,0,0,0,0,0,0
7,25,0,Ryan Preece,97,-213,7,0,0,0,1,0,0
7,26,3,Michael McDowell,84,-226,7,0,0,1,1,0,0
7,27,-1,David Ragan,84,-226,7,0,0,0,0,0,0
7,28,-1,Bubba Wallace,83,-227,7,0,0,0,0,0,0
7,29,-1,Daniel Hemric,72,-238,7,0,0,0,0,0,0
7,30,0,Corey LaJoie,67,-243,7,0,0,0,0,0,0
7,31,0,Matt Tifft,62,-248,7,0,0,0,0,0,0
7,32,0,Landon Cassill,49,-261,7,0,0,0,0,0,0
7,33,0,Jamie McMurray,19,-291,1,0,0,0,0,0,0
7,34,0,Cody Ware,18,-292,6,0,0,0,0,0,0
7,35,0,Quin Houff,7,-303,1,0,0,0,0,0,0
7,36,0,Reed Sorenson,7,-303,3,0,0,0,0,0,0
7,37,0,Casey Mears,1,-309,1,0,0,0,0,0,0
7,38,0,Ross Chastain,0,-310,7,0,0,0,1,0,0
7,39,0,Parker Kligerman,0,-310,4,0,0,0,0,0,0
7,40,0,BJ McLeod,0,-310,5,0,0,0,0,0,0
7,41,0,Brendan Gaughan,0,-310,1,0,0,0,0,0,0
7,42,0,Tyler Reddick,0,-310,1,0,0,0,0,0,0
7,43,0,Bayley Currey,0,-310,2,0,0,0,0,0,0
7,44,3,Garrett Smithley,0,-310,3,0,0,0,0,0,0
7,45,-1,DJ Kennington,0,-310,1,0,0,0,0,0,0
7,46,-1,Joey Gase,0,-310,3,0,0,0,0,0,0
7,47,-1,Jeb Burton,0,-310,1,0,0,0,0,0,0
7,48,1,Timmy Hill,0,-310,1,0,0,0,0,0,0
7,49,-1,Ryan Truex,0,-310,1,0,0,0,0,0,0
8,1,0,Kyle Busch,361,0,8,0,3,6,8,4,19
8,2,0,Denny Hamlin,334,-27,8,0,2,5,7,1,11
8,3,1,Joey Logano,326,-35,8,1,1,4,5,3,8
8,4,-1,Kevin Harvick,301,-60,8,1,0,3,6,2,2
8,5,1,Brad Keselowski,271,-90,8,0,2,4,4,2,12
8,6,2,Ryan Blaney,265,-96,8,1,0,4,4,2,2
8,7,0,"Martin Truex, Jr.",254,-107,8,0,0,2,5,0,0
8,8,2,Kurt Busch,253,-108,8,0,0,3,6,0,0
