#,Season,Date,Site,Cars,Winner(s),St,Make/Model,Len,Sfc,Miles,Purse,Pole,Cau,Laps,Speed,LC
2,2021,2/21/21,Daytona (Road),40,Christopher Bell,12,Toyota,3.61,R,253,,MQ,8,12,84.452,12
1,2021,2/14/21,Daytona,40,Michael McDowell,17,Ford,2.5,P,500,,191.261,7,40,144.416,22
36,2020,11/8/20,Phoenix,39,Chase Elliott,1,Chevrolet,1,P,312,,MQ,4,27,112.096,19
35,2020,11/1/20,Martinsville,39,Chase Elliott,8,Chevrolet,0.526,P,263,,MQ,12,83,71.581,20
34,2020,10/28/20,Fort Worth,40,Kyle Busch,9,Toyota,1.5,P,501,,MQ,8,47,135.263,23
33,2020,10/18/20,Kansas,40,Joey Logano,2,Ford,1.5,P,401,,MQ,6,31,138.329,17
32,2020,10/11/20,Charlotte (Road),38,Chase Elliott,2,Chevrolet,2.28,R,249,,MQ,9,16,76.948,17
31,2020,10/4/20,Talladega,39,Denny Hamlin,1,Toyota,2.66,P,532,,MQ,13,54,129.774,58
30,2020,9/27/20,Las Vegas,39,Kurt Busch,9,Chevrolet,1.5,P,402,,MQ,7,36,131.42,20
29,2020,9/19/20,Bristol,40,Kevin Harvick,4,Ford,0.533,P,267,,MQ,5,50,95.911,14
28,2020,9/12/20,Richmond,38,Brad Keselowski,9,Ford,0.75,P,300,,MQ,3,21,101.868,19
27,2020,9/6/20,Darlington,39,Kevin Harvick,8,Ford,1.366,P,501,,MQ,7,34,132.256,18
26,2020,8/29/20,Daytona,40,William Byron,6,Chevrolet,2.5,P,410,,MQ,6,21,153.766,35
25,2020,8/23/20,Dover,40,Kevin Harvick,17,Ford,1,P,311,,NTT,7,40,110.994,15
24,2020,8/22/20,Dover,40,Denny Hamlin,2,Toyota,1,P,311,,MQ,4,21,124.359,15
23,2020,8/16/20,Daytona (Road),39,Chase Elliott,7,Chevrolet,3.61,R,235,,MQ,4,7,89.39,13
22,2020,8/9/20,Michigan,39,Kevin Harvick,20,Ford,2,P,312,,NTT,5,24,144.463,10
21,2020,8/8/20,Michigan,39,Kevin Harvick,3,Ford,2,P,322,,DFP,9,43,124.712,12
20,2020,8/2/20,Loudon,38,Brad Keselowski,4,Ford,1.058,P,318,,DFP,11,52,100.372,22
19,2020,7/23/20,Kansas,40,Denny Hamlin,10,Toyota,1.5,P,401,,DFP,11,47,121.835,21
18,2020,7/19/20,Fort Worth,40,Austin Dillon,21,Chevrolet,1.5,P,501,,DFP,10,45,137.292,29
17,2020,7/12/20,Kentucky,38,Cole Custer,29,Ford,1.5,P,401,,DFP,8,42,133.636,13
16,2020,7/5/20,Indianapolis,40,Kevin Harvick,11,Ford,2.5,P,403,,DFP,9,43,123.162,11
15,2020,6/28/20,Pocono,40,Denny Hamlin,19,Toyota,2.5,P,350,,NTT,8,32,122.879,12
14,2020,6/27/20,Pocono,40,Kevin Harvick,9,Ford,2.5,P,325,,DFP,6,21,134.467,10
13,2020,6/22/20,Talladega,40,Ryan Blaney,12,Ford,2.66,P,508,,DFP,8,33,146.933,57
12,2020,6/14/20,Homestead,38,Denny Hamlin,1,Toyota,1.5,P,401,,DFP,6,27,127.751,17
11,2020,6/10/20,Martinsville,39,"Martin Truex, Jr.",5,Toyota,0.526,P,263,,DFP,7,52,77.378,14
10,2020,6/7/20,Atlanta,40,Kevin Harvick,9,Ford,1.54,P,501,,DFP,5,24,142.966,21
9,2020,5/31/20,Bristol,40,Brad Keselowski,1,Ford,0.533,P,267,,DFP,17,102,80.338,21
8,2020,5/28/20,Charlotte,40,Chase Elliott,19,Chevrolet,1.5,P,312,,NTT,7,37,125.315,14
7,2020,5/24/20,Charlotte,40,Brad Keselowski,9,Ford,1.5,P,608,,181.269,8,52,135.042,20
