Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,DRIVER RATING
Brad Keselowski,19,12,1,1,23,9,8,89,81,54,60.7,28,289,88.9,33,10.2,325,108.3
"Martin Truex, Jr.",9,3,2,1,14,4,15,47,32,44,93.6,38,325,100,4,1.2,325,127.4
Kurt Busch,8,7,3,1,21,6,3,51,48,35,68.6,5,321,98.8,1,0.3,325,112
Kevin Harvick,18,1,4,1,18,4,-1,42,43,31,73.8,38,322,99.1,45,13.9,325,121.1
Clint Bowyer,3,10,5,3,23,8,-6,70,76,36,51.4,4,316,97.2,0,0,325,99.9
Kyle Busch,6,9,6,2,30,11,36,110,74,63,57.3,25,278,85.5,0,0,325,94
Erik Jones,15,8,7,5,24,13,4,88,84,42,47.7,2,204,62.8,0,0,325,84.3
Aric Almirola,1,14,8,1,27,11,14,73,59,39,53.4,14,221,68,36,11.1,325,92.1
Chris Buescher,30,20,9,6,30,17,9,95,86,38,40,1,143,44,0,0,325,74.9
Daniel Suarez,5,13,10,4,22,12,-8,84,92,63,75,0,295,90.8,0,0,325,82.5
Denny Hamlin,4,5,11,2,24,9,-11,84,95,58,69,4,302,92.9,0,0,325,92.2
Kyle Larson,7,2,12,1,21,6,10,69,59,44,63.8,54,266,81.9,142,43.7,325,117.2
Ryan Newman,13,11,13,5,27,14,-7,84,91,42,50,1,250,76.9,0,0,325,77.1
Paul Menard,14,21,14,5,25,18,-4,80,84,19,23.8,1,78,24,0,0,325,67.7
Alex Bowman,16,17,15,9,23,17,-1,79,80,21,26.6,0,81,24.9,0,0,325,71.5
David Ragan,23,22,16,10,29,22,-1,79,80,11,13.9,0,13,4,0,0,325,59.5
William Byron,17,18,17,8,24,18,-8,74,82,14,18.9,2,39,12,0,0,325,62.3
"Ricky Stenhouse, Jr.",2,27,18,1,28,17,0,52,52,16,30.8,7,128,39.4,1,0.3,324,87.6
Chase Elliott,22,15,19,4,22,14,-6,86,92,48,55.8,1,212,65.2,0,0,324,67.6
Daniel Hemric,28,16,20,4,31,16,12,97,85,29,29.9,10,149,45.9,0,0,324,71.3
Austin Dillon,10,24,21,8,29,24,-17,50,67,4,8,0,6,1.9,0,0,324,54.7
Ryan Blaney,26,4,22,1,26,8,-1,50,51,30,60,17,282,86.8,41,12.7,324,97.3
Joey Logano,27,6,23,1,27,9,25,94,69,52,55.3,24,283,87.1,22,6.8,324,89.9
Jimmie Johnson,11,25,24,11,27,24,-20,27,47,1,3.7,1,1,0.3,0,0,323,52.7
Ty Dillon,21,28,25,14,32,27,-2,33,35,0,0,1,1,0.3,0,0,323,46.4
Matt DiBenedetto,20,23,26,12,28,25,-12,53,65,4,7.5,1,6,1.9,0,0,322,48.7
Bubba Wallace,29,29,27,16,31,28,4,20,16,0,0,0,0,0,0,0,322,43
Matt Tifft,31,31,28,10,32,30,-4,20,24,0,0,0,1,0.3,0,0,319,38.5
Corey LaJoie,24,30,29,19,32,30,-14,25,39,0,0,8,0,0,0,0,319,39.2
Parker Kligerman,34,32,30,29,34,31,6,11,5,0,0,0,0,0,0,0,318,37
Ross Chastain,32,35,31,31,35,33,0,4,4,0,0,2,0,0,0,0,313,32.8
B.J. McLeod,37,34,32,32,37,33,5,11,6,0,0,2,0,0,0,0,313,30.8
Cody Ware,36,36,33,33,36,35,4,5,1,0,0,0,0,0,0,0,303,27.3
Landon Cassill,33,33,34,33,37,35,-3,7,10,0,0,0,0,0,0,0,284,28.2
Ryan Preece,25,19,35,7,28,20,2,69,67,22,31.9,0,58,17.9,0,0,271,54.8
Garrett Smithley,35,37,36,35,37,37,-2,1,3,0,0,0,0,0,0,0,254,24.3
Michael McDowell,12,26,37,10,37,29,-30,23,53,4,17.4,4,5,1.5,0,0,222,41.7
